asv,D1N1_419,D1N2_125,D1N3_90,D1N4_45,D2N1_40,D2N2_125,D2N3_200,D2N4_620,D2N5_5,total,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species
ASV1960,0,0,0,0,0,0,40,0,0,40,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Guinardia,Guinardia striata
ASV3557,0,0,0,8,28,2,0,1,0,39,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Navicula,Navicula sp.
ASV2712,0,0,0,0,0,0,0,0,38,38,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,NA
ASV3014,0,0,9,3,0,3,0,0,22,37,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,Skeletonema costatum
ASV3579,0,0,0,29,0,2,0,0,3,34,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros decipiens
ASV4075,0,0,0,0,0,0,0,34,0,34,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros contortus
ASV1214,0,0,0,0,21,0,0,0,10,31,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros affinis
ASV4703,0,0,0,0,0,15,0,0,16,31,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,NA
ASV1327,3,0,1,24,0,1,0,0,0,29,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,Skeletonema menzellii
ASV5428,0,0,27,0,0,0,0,0,0,27,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,Skeletonema menzellii
ASV856,0,0,0,0,0,3,0,0,20,23,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,Bacteriastrum jadranum
ASV3651,0,0,0,3,0,2,0,0,17,22,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Cylindrotheca,Cylindrotheca closterium
ASV6219,0,0,0,0,0,0,19,0,0,19,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Psammodictyon,Psammodictyon sp.
ASV6236,0,0,0,0,0,0,0,19,0,19,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros gelidus
ASV6586,0,0,0,0,16,0,0,0,0,16,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Navicula,Navicula sp.
ASV6703,0,15,0,0,0,0,0,0,0,15,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Navicula,NA
ASV7017,0,13,0,0,0,0,0,0,0,13,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros tenuissimus
ASV5001,0,0,5,0,5,2,0,0,0,12,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Navicula,Navicula lanceolata
ASV2120,0,0,0,0,0,0,0,0,11,11,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,Bacteriastrum jadranum
ASV2007,0,0,0,0,0,1,0,0,9,10,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Cylindrotheca,Cylindrotheca closterium
ASV3203,0,0,0,0,0,0,0,6,4,10,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros affinis
ASV7677,0,0,0,10,0,0,0,0,0,10,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Araphid-pennate,Licmophora,Licmophora grandis
ASV2604,0,0,0,0,0,5,0,0,4,9,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros contortus
ASV7960,0,0,0,0,0,0,0,0,9,9,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Dactyliosolen,Dactyliosolen blavyanus
ASV7961,0,0,0,0,0,0,0,0,9,9,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros lauderi
ASV6471,0,0,0,0,0,6,0,0,2,8,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros anastomosans
ASV8182,0,0,0,0,8,0,0,0,0,8,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros danicus
ASV8481,0,0,0,0,0,7,0,0,0,7,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,Bacteriastrum parallelum
ASV5595,0,0,0,0,0,6,0,0,0,6,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros muellerii
ASV8811,0,0,0,0,6,0,0,0,0,6,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Proboscia,NA
ASV8813,0,0,0,0,0,6,0,0,0,6,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,Bacteriastrum jadranum
ASV4819,0,0,5,0,0,0,0,0,0,5,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,Bacteriastrum parallelum
ASV9089,0,0,5,0,0,0,0,0,0,5,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Araphid-pennate,Licmosphenia,Licmosphenia peragallioides
ASV1200,0,0,0,0,0,0,0,0,4,4,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Cylindrotheca,NA
ASV9490,0,0,0,4,0,0,0,0,0,4,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Cyclotella,NA
ASV9492,0,0,0,4,0,0,0,0,0,4,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Araphid-pennate,Thalassionema,Thalassionema frauenfeldii
ASV9866,0,0,0,3,0,0,0,0,0,3,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros muellerii
ASV9962,0,0,0,0,0,0,0,0,3,3,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,NA
ASV1234,0,0,0,5,10,0,0,0,40,55,Eukaryota,Chromista,Opalozoa,Bicoecea,Borokales,Borokaceae,Borokaceae_X,Borokaceae X sp.
ASV7012,13,0,0,0,0,0,0,0,0,13,Eukaryota,Chromista,Opalozoa,Bicoecea,Bicoecea_X,Bicoecea_XX,Bicoecea_XXX,Bicoecea XXX sp.
ASV9849,0,0,0,3,0,0,0,0,0,3,Eukaryota,Chromista,Opalozoa,Bicoecea,Borokales,Borokaceae,Borokaceae_X,Borokaceae X sp.
ASV2859,0,0,0,0,0,0,0,0,15,15,Eukaryota,Chromista,Ochrophyta,Bolidophyceae,Parmales,Parmales_X,Parmales_XX,Parmales XX sp.
ASV3117,0,0,0,0,0,0,48,24,4,76,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales_XX,Chlorodendrales XX sp.
ASV5526,0,0,0,0,0,0,26,0,0,26,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales_XX,Chlorodendrales XX sp.
ASV2552,0,0,0,0,0,0,0,10,12,22,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales_XX,Chlorodendrales XX sp.
ASV4342,7,0,0,0,0,0,0,0,6,13,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales_XX,Chlorodendrales XX sp.
ASV5298,0,0,0,0,0,0,0,13,0,13,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales_XX,Chlorodendrales XX sp.
ASV6448,0,0,12,0,0,0,0,0,0,12,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Chlorodendrales_XX,Chlorodendrales XX sp.
ASV549,90,0,0,125,11,0,1,0,26,253,Eukaryota,Archaeplastida,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon roscoffensis
ASV4028,0,0,0,6,26,0,0,0,0,32,Eukaryota,Archaeplastida,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon sieburthii
ASV3222,0,0,0,6,8,0,0,0,0,14,Eukaryota,Archaeplastida,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon roscoffensis
ASV9845,0,0,3,0,0,0,0,0,0,3,Eukaryota,Archaeplastida,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon sieburthii
ASV1307,0,0,0,4,3,0,0,80,26,113,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_E,Stephanoecidae_Group_E_X,Stephanoecidae Group E X sp.
ASV1338,0,0,0,16,15,0,0,70,5,106,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_B,Monosigidae_Group_B_X,Monosigidae Group B X sp.
ASV1967,0,0,0,0,0,4,47,0,2,53,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV3549,51,0,0,0,0,0,0,0,0,51,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoecidae_Group_H_X,Stephanoecidae Group H X sp.
ASV1698,38,0,0,0,0,0,0,0,12,50,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_E,Stephanoecidae_Group_E_X,Stephanoecidae Group E X sp.
ASV4635,0,39,0,0,0,0,0,0,0,39,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_A,Monosigidae_Group_A_X,Monosigidae Group A X sp.
ASV2548,0,0,0,0,21,0,0,0,15,36,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV5083,0,0,0,0,0,0,32,0,0,32,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV5427,0,0,27,0,0,0,0,0,0,27,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV1720,0,0,0,0,0,0,0,0,21,21,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_I,Stephanoecidae_Group_I_X,Stephanoecidae Group I X sp.
ASV6066,0,20,0,0,0,0,0,0,0,20,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoeca_Group_H,Stephanoeca cauliculata
ASV1838,0,0,0,0,14,0,0,0,4,18,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_E,Stephanoecidae_Group_E_X,Stephanoecidae Group E X sp.
ASV2410,0,0,0,4,0,0,0,0,11,15,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Acanthocorbis,Acanthocorbis unguiculata
ASV5749,0,0,8,4,0,0,3,0,0,15,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_M,Monosigidae_Group_M_X,Monosigidae Group M X sp.
ASV6730,0,0,0,0,15,0,0,0,0,15,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Acanthoecida_X,Acanthoecida_XX,Acanthoecida XX sp.
ASV7251,0,0,0,0,12,0,0,0,0,12,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Acanthocorbis,Acanthocorbis unguiculata
ASV7890,0,0,9,0,0,0,0,0,0,9,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoeca_Group_H,Stephanoeca cauliculata
ASV7904,0,0,0,9,0,0,0,0,0,9,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_H,Stephanoecidae_Group_H_X,Stephanoecidae Group H X sp.
ASV8217,0,0,0,0,0,0,8,0,0,8,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV8218,0,0,0,0,0,0,8,0,0,8,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Monosigidae_Group_B,Monosigidae_Group_B_X,Monosigidae Group B X sp.
ASV7049,0,0,0,0,6,0,0,0,0,6,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Acanthoecida_X,Acanthoecida_XX,Acanthoecida XX sp.
ASV8806,0,0,0,0,6,0,0,0,0,6,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV9491,0,0,0,4,0,0,0,0,0,4,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_E,Stephanoecidae_Group_E_X,Stephanoecidae Group E X sp.
ASV4045,0,0,0,0,0,0,0,0,3,3,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_E,Stephanoecidae_Group_E_X,Stephanoecidae Group E X sp.
ASV5510,0,0,0,0,3,0,0,0,0,3,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV6729,0,0,0,0,3,0,0,0,0,3,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,Stephanoecidae Group D X sp.
ASV1079,0,308,0,0,0,0,67,0,0,375,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae Clade-H X sp.
ASV2625,121,0,0,0,0,0,0,0,0,121,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae Clade-H X sp.
ASV913,0,0,0,0,19,0,0,80,0,99,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-G,Chrysophyceae_Clade-G_X,Chrysophyceae Clade-G X sp.
ASV2475,80,0,0,0,0,0,0,0,0,80,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae Clade-H X sp.
ASV1812,60,0,0,0,0,0,0,0,0,60,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae Clade-H X sp.
ASV1047,0,0,0,0,0,0,30,0,14,44,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-G,Chrysophyceae_Clade-G_X,Chrysophyceae Clade-G X sp.
ASV956,0,0,0,0,3,9,0,0,3,15,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-G,Chrysophyceae_Clade-G_X,Chrysophyceae Clade-G X sp.
ASV7888,0,0,9,0,0,0,0,0,0,9,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae Clade-H X sp.
ASV1732,0,0,0,3,0,0,0,0,0,3,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-F,Paraphysomonas,Paraphysomonas sp.
ASV9145,0,0,0,0,0,5,0,0,0,5,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Chromeraceae,Chromera,Chromera sp.
ASV7,1397,72,106,419,12024,50,290,1019,8567,23944,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA
ASV36,306,96,274,8335,2607,103,380,380,413,12894,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae XXX sp.
ASV19,448,930,312,810,3482,199,675,962,1798,9616,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium fusiforme
ASV11,1165,232,260,787,2081,342,915,766,2418,8966,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium dominans
ASV32,672,447,449,1230,1329,327,1232,627,2070,8383,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA
ASV22,562,18,41,288,279,131,1011,385,2144,4859,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum sp.
ASV27,715,445,71,398,572,7,1016,590,647,4461,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium chlorophorum
ASV45,104,412,564,228,507,335,934,276,714,4074,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium sp.
ASV52,146,108,69,837,939,66,414,285,989,3853,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum sp.
ASV47,250,147,159,540,417,119,517,134,1269,3552,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum sp.
ASV14,372,227,37,384,781,9,189,452,844,3295,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae XXX sp.
ASV65,85,0,0,481,1240,0,402,321,225,2754,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium sp.
ASV20,778,151,83,60,22,19,1161,383,92,2749,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa pygmaea
ASV48,495,91,115,444,326,32,471,262,156,2392,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium sp.
ASV347,70,442,1047,0,0,284,262,203,3,2311,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae XXX sp.
ASV140,333,142,65,1121,223,17,178,43,116,2238,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Blastodiniaceae,Blastodinium,Blastodinium mangini
ASV298,0,332,197,111,0,429,652,454,13,2188,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae XXX sp.
ASV74,191,261,113,168,357,46,258,111,661,2166,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa nei/rotundata
ASV79,158,95,96,540,553,47,200,152,320,2161,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum
ASV56,255,73,110,118,63,399,617,192,179,2006,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Chytriodiniaceae,Chytriodinium,Chytriodinium roseum
ASV322,0,331,42,0,0,599,584,415,12,1983,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyta_XX,Dinophyta_XXX,Dinophyta_XXXX,Dinophyta XXXX sp.
ASV289,0,17,0,0,0,65,941,783,32,1838,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium sp.
ASV120,245,86,19,246,338,0,167,31,588,1720,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Torodiniales,Torodiniaceae,Torodinium,Torodinium robustum
ASV84,193,0,2,203,438,0,435,111,334,1716,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium sp.
