asv,D1N1_419,D1N2_125,D1N3_90,D1N4_45,D2N1_40,D2N2_125,D2N3_200,D2N4_620,D2N5_5,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV69,7,225,129,0,0,1576,3071,2872,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV58,17,388,1205,736,501,1557,1720,1208,294,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV42,8,5,8,565,3644,14,6,8,3361,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,NA
ASV21,2,21,311,2128,2464,263,13,16,2340,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV27,0,0,6,1492,3475,5,0,11,2475,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV77,11,868,2907,522,279,1201,825,429,148,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV56,286,75,478,4385,627,110,65,67,1033,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,NA
ASV37,6,14,273,1963,2896,123,22,30,1797,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV41,5,6,186,2410,2536,126,23,38,1638,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV94,0,16,35,0,0,2323,2866,1565,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV55,4,323,1748,1637,690,1422,241,112,575,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV107,15,1579,3117,169,69,905,318,264,16,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV57,15,0,38,1126,3478,29,0,10,1723,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV48,0,1,233,2215,1663,141,12,31,2033,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
ASV87,5,139,787,857,573,969,1067,807,263,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV38,6,7,11,984,2615,5,6,6,1740,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV52,0,0,182,2379,1451,103,21,13,561,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,NA,NA
ASV133,0,538,1820,163,35,1112,644,326,14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV83,2,76,801,1466,688,939,77,62,526,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV148,0,140,2597,196,5,1571,97,0,17,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV141,7,827,1465,0,0,912,530,733,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV118,4,229,1453,323,203,1262,594,260,92,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV117,0,42,56,0,0,914,1625,1776,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV160,0,132,593,6,2,2872,455,136,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV142,0,199,233,12,0,892,1243,1104,2,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV187,0,34,2566,378,5,567,65,3,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,NA
ASV60,0,8,118,1122,1353,68,0,10,860,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV145,0,74,37,0,0,706,1511,1090,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,NA,NA
ASV202,3040,120,27,0,0,0,0,4,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,NA
ASV209,0,70,1148,705,103,900,106,31,5,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV111,0,30,347,944,908,159,5,5,562,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV131,0,288,214,13,18,642,974,772,18,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV176,0,136,557,0,0,519,967,711,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV225,39,1779,664,0,0,148,23,113,0,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV82,0,0,125,787,911,89,0,0,804,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV213,13,727,1382,39,19,287,136,113,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV240,1282,1314,119,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV243,1239,1283,148,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV191,0,54,35,0,0,648,1009,905,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV231,0,321,903,104,23,1090,143,58,0,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
ASV247,2588,31,10,0,0,0,0,0,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,LCP-80,NA
ASV44,0,11,6,771,764,0,0,38,1025,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV212,7,681,1075,181,101,229,95,89,56,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV259,0,29,1417,372,44,501,104,27,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV205,0,60,50,0,0,680,892,791,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV244,0,182,1237,77,22,510,297,148,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7 marine group,NA,NA
ASV59,0,0,36,575,830,22,0,24,978,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV157,0,0,0,789,1350,10,0,0,296,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA,NA
ASV171,0,0,190,1341,631,164,0,0,99,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV235,0,67,273,0,0,756,622,653,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV95,10,0,10,608,1091,9,0,0,617,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,OM60(NOR5) clade,NA
ASV102,1,10,67,612,937,53,33,26,575,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV216,0,16,25,0,0,433,834,966,0,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV110,0,0,9,1183,685,16,0,16,345,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,NA,NA
ASV220,3,154,83,0,0,577,620,794,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV238,5,237,249,0,0,650,548,518,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV301,0,40,1650,190,12,215,33,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,NA,NA
ASV305,0,90,1844,26,4,110,28,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
ASV192,0,0,0,294,942,0,0,6,832,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV282,0,535,798,0,0,210,262,268,0,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,NA,NA
ASV70,4,0,7,420,686,24,0,9,869,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
ASV234,0,45,0,0,0,369,739,865,0,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
ASV249,0,95,36,0,0,450,757,668,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV79,0,0,0,516,803,0,0,0,682,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902,NA
ASV320,412,1023,538,0,0,15,0,2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
ASV268,0,45,90,0,0,421,731,645,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV97,4,0,8,694,703,5,0,4,510,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,NA,NA
ASV124,3,0,0,39,260,0,0,17,1574,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
ASV64,6,14,33,754,513,45,0,11,491,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV128,0,3,26,1348,265,10,0,0,210,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
ASV319,56,82,896,41,56,345,155,185,14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV352,1485,332,0,2,0,0,0,0,0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Candidatus Anammoximicrobium,NA
ASV307,0,286,90,0,0,571,213,645,0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA
ASV318,0,160,693,103,33,389,274,134,2,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV120,2,20,60,621,511,19,0,0,513,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
ASV275,0,37,10,0,0,343,643,699,0,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,NA,NA
ASV262,0,32,8,0,0,295,462,932,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A clade,NA,NA
ASV85,3,0,10,247,745,15,0,15,685,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV137,0,0,0,213,1024,0,0,0,469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV114,0,0,14,175,714,35,0,1,742,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV93,1,0,15,456,617,23,0,4,564,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,OM60(NOR5) clade,NA
ASV341,3,227,579,19,5,453,207,182,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV317,0,22,63,0,0,599,525,449,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,NA
ASV138,0,0,150,369,455,76,6,4,597,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV313,11,278,453,91,33,361,244,150,19,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV337,0,30,466,2,0,490,456,196,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,NA
ASV109,0,0,41,553,531,25,3,0,438,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV310,0,61,19,0,0,486,552,454,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV326,0,41,15,0,0,474,455,561,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV384,0,0,16,754,724,10,0,3,39,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
ASV382,0,152,399,35,0,756,125,70,0,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
ASV229,0,2,4,67,544,0,0,0,914,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
ASV315,0,81,42,0,0,353,534,518,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV401,1510,8,2,0,0,0,0,0,0,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,MSBL8,NA,NA
ASV375,0,316,673,0,0,242,100,184,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV322,0,82,95,0,0,450,517,369,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV359,2,213,300,0,0,289,299,356,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV90,0,0,8,354,513,20,3,9,527,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
ASV423,1283,143,6,0,0,0,0,0,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,NA
ASV428,1377,32,14,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,NA
ASV155,0,0,33,876,279,64,4,10,154,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV300,0,32,596,68,13,397,204,105,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV149,0,0,5,450,530,2,0,0,411,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,NA
ASV143,0,5,42,469,527,23,0,8,310,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV199,0,0,6,429,460,0,0,0,475,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,NA
ASV174,4,0,0,176,848,0,6,0,312,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,NA
ASV180,0,0,116,429,521,35,0,4,229,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV257,0,0,0,257,590,0,0,0,487,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV408,3,134,407,31,5,356,265,121,5,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV298,6,64,177,72,114,330,327,145,83,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV219,0,3,249,165,72,429,240,123,36,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,NA,NA
ASV395,0,207,285,0,0,352,239,231,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV123,0,0,28,177,452,18,1,14,605,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
ASV419,0,42,544,60,209,271,51,39,50,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV184,0,0,87,429,470,50,0,0,227,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV462,0,270,784,0,2,134,27,30,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV470,0,58,907,40,0,198,29,4,0,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
ASV394,0,137,122,0,0,403,364,207,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV196,0,0,109,444,416,24,0,0,232,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV453,0,137,593,25,3,224,132,84,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV193,0,0,58,472,458,60,6,1,140,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV449,1,306,369,0,0,253,104,157,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV251,0,0,3,297,568,4,0,0,309,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV388,0,9,168,575,103,295,10,0,20,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,OM182 clade,NA,NA
ASV347,0,122,562,68,22,314,60,7,21,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV146,0,0,47,422,383,42,0,11,261,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV457,1,103,419,14,5,322,161,140,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV427,0,15,63,0,0,414,284,380,0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA
ASV415,1,106,186,15,0,313,292,240,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV400,0,58,49,0,0,269,416,359,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV430,0,115,335,30,21,304,238,89,7,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV520,1066,64,0,0,0,0,0,0,0,Bacteria,Latescibacterota,Latescibacteria,Latescibacterales,Latescibacteraceae,NA,NA
ASV230,5,0,21,81,481,1,0,0,531,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7 marine group,NA,NA
ASV507,5,197,546,34,4,221,71,42,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV410,1,105,47,0,0,305,357,303,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV511,0,219,655,0,0,131,55,54,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV418,0,80,55,0,0,315,337,310,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV533,699,380,0,0,0,0,0,0,0,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,NA
ASV434,0,53,65,0,0,236,394,326,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV444,0,123,53,0,0,273,322,298,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV411,6,98,39,0,2,287,331,300,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV287,5,0,0,118,603,0,0,0,333,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV351,0,0,42,376,420,38,0,0,183,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV546,1047,9,2,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,NA
ASV461,0,39,26,0,0,316,404,272,0,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,NA,NA
ASV417,0,34,14,0,0,261,451,293,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV265,0,0,2,168,606,0,0,0,268,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV424,0,66,35,0,0,253,417,273,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV221,0,0,40,277,417,20,0,0,289,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV456,0,79,217,1,0,213,281,251,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV558,0,33,325,423,75,164,11,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A clade,NA,NA
ASV496,1,149,142,0,0,303,146,283,0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV421,0,0,0,0,0,197,296,530,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV403,0,0,0,143,584,0,0,7,288,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV448,0,23,20,0,0,242,380,356,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV416,0,5,24,0,0,176,532,266,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV167,0,0,34,261,500,28,0,0,175,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,NA,NA
ASV561,6,276,508,0,0,119,40,49,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV261,0,3,88,314,364,44,0,0,178,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV509,0,90,239,0,0,256,204,190,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV99,0,0,31,371,216,7,1,39,313,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
ASV296,0,6,63,320,339,45,0,10,195,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV250,0,0,18,235,511,11,0,0,199,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV543,1,83,341,32,0,265,157,92,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV580,967,0,0,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,NA
ASV483,0,28,64,4,2,250,376,239,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV241,0,0,105,344,315,34,0,0,164,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV432,0,0,0,249,613,0,0,0,97,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA,NA
ASV459,0,75,15,0,0,245,371,251,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV474,0,68,44,0,0,230,297,315,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV218,0,0,53,355,333,31,0,6,175,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV590,409,490,53,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV500,0,77,0,0,0,259,336,275,0,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
